#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-10-29T19:34:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5632742d860e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/733/127&tab:{J/ApJ/733/127/table2}&key:source=J/ApJ/733/127&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/ApJ/733/127/table2
#-order=I
#-out=BJD
#-out=RFlux
#-out=e_RFlux
#

#RESOURCE=yCat_17330127
#Name: J/ApJ/733/127
#Title: Four transits of WASP-4b (Sanchis-Ojeda+, 2011)
#Table	J_ApJ_733_127_table2:
#Name: J/ApJ/733/127/table2
#Title: Photometry of WASP-4 \vizContent{timeSerie}(\wGraph{J/ApJ/733/127/./table2}{P=1.338231}{Transit Curve})
#Column	BJD	(F14.6)	Barycentric Julian Date (1)	[ucd=time.epoch]
#Column	RFlux	(F8.5)	Relative flux	[ucd=phot.flux;arith.ratio]
#Column	e_RFlux	(F8.5)	Uncertainty in RFlux	[ucd=stat.error]
BJD;RFlux;e_RFlux
2454697.743412; 1.00024; 0.00067
2454697.743887; 0.99985; 0.00067
2454697.744372; 0.99951; 0.00067
2454697.744847; 0.99945; 0.00067
2454697.745322; 0.99976; 0.00067
2454697.745796; 0.99989; 0.00067
2454697.746271; 1.00019; 0.00067
2454697.746745; 0.99980; 0.00067
2454697.752440; 0.99925; 0.00067
2454697.752914; 1.00018; 0.00067
2454697.753389; 1.00051; 0.00067
2454697.753864; 0.99906; 0.00067
2454697.754338; 0.99895; 0.00067
2454697.754813; 0.99834; 0.00067
2454697.755287; 0.99840; 0.00067
2454697.755762; 0.99758; 0.00067
2454697.756236; 0.99591; 0.00067
2454697.756711; 0.99509; 0.00067
2454697.757185; 0.99507; 0.00067
2454697.757661; 0.99329; 0.00067
2454697.758134; 0.99324; 0.00067
2454697.758610; 0.99157; 0.00067
2454697.759084; 0.99152; 0.00067
2454697.759558; 0.99081; 0.00067
2454697.760033; 0.98857; 0.00067
2454697.760508; 0.98826; 0.00067
2454697.760983; 0.98713; 0.00067
2454697.761456; 0.98566; 0.00067
2454697.761931; 0.98588; 0.00067
2454697.762405; 0.98122; 0.00067
2454697.762880; 0.98208; 0.00067
2454697.763354; 0.98078; 0.00067
2454697.763829; 0.98020; 0.00067
2454697.764306; 0.97836; 0.00067
2454697.764778; 0.97870; 0.00067
2454697.765253; 0.97804; 0.00067
2454697.765756; 0.97731; 0.00067
2454697.766225; 0.97823; 0.00067
2454697.766699; 0.97639; 0.00067
2454697.767174; 0.97722; 0.00067
2454697.767648; 0.97653; 0.00067
2454697.768123; 0.97600; 0.00067
2454697.768597; 0.97528; 0.00067
2454697.769072; 0.97566; 0.00067
2454697.769547; 0.97524; 0.00067
2454697.810143; 0.97281; 0.00067
2454697.810444; 0.97126; 0.00067
2454697.810745; 0.97177; 0.00067
2454697.811046; 0.97109; 0.00067
2454697.811347; 0.97188; 0.00067
2454697.811882; 0.97250; 0.00067
2454697.812181; 0.97217; 0.00067
2454697.812481; 0.97238; 0.00067
2454697.812782; 0.97321; 0.00067
2454697.813083; 0.97391; 0.00067
2454697.813384; 0.97206; 0.00067
2454697.813685; 0.97277; 0.00067
2454697.813986; 0.97285; 0.00067
2454697.814287; 0.97309; 0.00067
2454697.814588; 0.97260; 0.00067
2454697.815195; 0.97388; 0.00067
2454697.815491; 0.97257; 0.00067
2454697.815791; 0.97216; 0.00067
2454697.816092; 0.97363; 0.00067
2454697.816393; 0.97286; 0.00067
2454697.816696; 0.97369; 0.00067
2454697.816995; 0.97355; 0.00067
2454697.817296; 0.97417; 0.00067
2454697.817597; 0.97324; 0.00067
2454697.817898; 0.97456; 0.00067
2454697.818199; 0.97466; 0.00067
2454697.818500; 0.97311; 0.00067
2454697.818800; 0.97386; 0.00067
2454697.819101; 0.97418; 0.00067
2454697.819402; 0.97404; 0.00067
2454697.819703; 0.97359; 0.00067
2454697.820004; 0.97360; 0.00067
2454697.820305; 0.97432; 0.00067
2454697.820606; 0.97311; 0.00067
2454697.820907; 0.97364; 0.00067
2454697.821225; 0.97456; 0.00067
2454697.821521; 0.97523; 0.00067
2454697.821821; 0.97398; 0.00067
2454697.822123; 0.97447; 0.00067
2454697.822423; 0.97355; 0.00067
2454697.822726; 0.97502; 0.00067
2454697.823025; 0.97407; 0.00067
2454697.823326; 0.97466; 0.00067
2454697.823627; 0.97360; 0.00067
2454697.823928; 0.97534; 0.00067
2454697.824229; 0.97537; 0.00067
2454697.824530; 0.97516; 0.00067
2454697.824833; 0.97411; 0.00067
2454697.825132; 0.97441; 0.00067
2454697.825432; 0.97625; 0.00067
2454697.825734; 0.97572; 0.00067
2454697.826034; 0.97508; 0.00067
2454697.826336; 0.97597; 0.00067
2454697.826638; 0.97455; 0.00067
2454697.826937; 0.97562; 0.00067
2454697.827277; 0.97600; 0.00067
2454697.827574; 0.97648; 0.00067
2454697.827875; 0.97521; 0.00067
2454697.828176; 0.97592; 0.00067
2454697.828476; 0.97831; 0.00067
2454697.828777; 0.97685; 0.00067
2454697.829078; 0.97783; 0.00067
2454697.829379; 0.97720; 0.00067
2454697.829680; 0.97721; 0.00067
2454697.829981; 0.97660; 0.00067
2454697.830282; 0.97569; 0.00067
2454697.830583; 0.97801; 0.00067
2454697.830884; 0.97743; 0.00067
2454697.831185; 0.97782; 0.00067
2454697.831486; 0.97667; 0.00067
2454697.831787; 0.97979; 0.00067
2454697.832088; 0.97834; 0.00067
2454697.832389; 0.98007; 0.00067
2454697.832689; 0.98079; 0.00067
2454697.832990; 0.98143; 0.00067
2454697.833487; 0.98385; 0.00067
2454697.833789; 0.98269; 0.00067
2454697.834090; 0.98459; 0.00067
2454697.834391; 0.98464; 0.00067
2454697.834692; 0.98539; 0.00067
2454697.834993; 0.98569; 0.00067
2454697.835294; 0.98634; 0.00067
2454697.835595; 0.98653; 0.00067
2454697.835896; 0.98771; 0.00067
2454697.836197; 0.98865; 0.00067
2454697.836498; 0.98856; 0.00067
2454697.836798; 0.99012; 0.00067
2454697.837099; 0.99078; 0.00067
2454697.837400; 0.99102; 0.00067
2454697.837701; 0.99275; 0.00067
2454697.838002; 0.99380; 0.00067
2454697.838303; 0.99263; 0.00067
2454697.838604; 0.99411; 0.00067
2454697.838905; 0.99423; 0.00067
2454697.839206; 0.99599; 0.00067
2454697.839507; 0.99528; 0.00067
2454697.839808; 0.99633; 0.00067
2454697.840109; 0.99612; 0.00067
2454697.840410; 0.99794; 0.00067
2454697.840710; 0.99661; 0.00067
2454697.841011; 0.99930; 0.00067
2454697.841312; 0.99885; 0.00067
2454697.841613; 0.99781; 0.00067
2454697.841914; 0.99871; 0.00067
2454697.842215; 0.99883; 0.00067
2454697.842516; 0.99959; 0.00067
2454697.842817; 0.99878; 0.00067
2454697.843120; 1.00099; 0.00067
2454697.843419; 1.00024; 0.00067
2454697.843720; 1.00118; 0.00067
2454697.844021; 0.99931; 0.00067
2454697.844322; 0.99974; 0.00067
2454697.844623; 0.99993; 0.00067
2454697.844924; 1.00012; 0.00067
2454697.845225; 0.99918; 0.00067
2454697.845525; 0.99893; 0.00067
2454697.845829; 0.99973; 0.00067
2454697.846127; 1.00002; 0.00067
2454697.846428; 1.00090; 0.00067
2454697.846729; 0.99945; 0.00067
2454697.847126; 0.99902; 0.00067
2454697.847424; 1.00083; 0.00067
2454697.847725; 1.00043; 0.00067
2454697.848025; 1.00030; 0.00067
2454697.848326; 1.00038; 0.00067
2454697.848628; 0.99969; 0.00067
2454697.848928; 0.99870; 0.00067
2454697.849229; 1.00012; 0.00067
2454697.849530; 1.00154; 0.00067
2454697.849831; 0.99968; 0.00067
2454697.850132; 1.00149; 0.00067
2454697.850433; 1.00176; 0.00067
2454697.850734; 0.99889; 0.00067
2454697.851035; 0.99883; 0.00067
2454697.851336; 1.00090; 0.00067
2454697.851637; 1.00052; 0.00067
2454697.851937; 1.00055; 0.00067
2454697.852239; 0.99979; 0.00067
2454697.852539; 1.00089; 0.00067
2454697.852841; 0.99959; 0.00067
2454697.853141; 0.99957; 0.00067
2454697.853442; 1.00027; 0.00067
2454697.853743; 1.00005; 0.00067
2454697.854044; 1.00007; 0.00067
2454697.854345; 1.00041; 0.00067
2454697.854646; 1.00077; 0.00067
2454697.854947; 1.00150; 0.00067
2454697.855248; 1.00006; 0.00067
2454697.855549; 0.99912; 0.00067
2454697.855850; 1.00016; 0.00067
2454697.856151; 1.00077; 0.00067
2454697.856451; 1.00005; 0.00067
2454697.856752; 1.00012; 0.00067
2454697.857053; 0.99865; 0.00067
2454697.857357; 0.99937; 0.00067
2454697.857655; 0.99891; 0.00067
2454697.857956; 0.99946; 0.00067
2454697.858257; 0.99913; 0.00067
2454697.858558; 0.99925; 0.00067
2454697.858859; 0.99950; 0.00067
2454697.859160; 1.00023; 0.00067
2454697.859461; 0.99992; 0.00067
2454697.859762; 0.99960; 0.00067
2454697.860063; 1.00030; 0.00067
2454697.860364; 0.99931; 0.00067
2454697.860681; 0.99983; 0.00067
2454697.860977; 1.00075; 0.00067
2454697.861278; 1.00057; 0.00067
2454697.861579; 1.00021; 0.00067
2454697.861880; 1.00157; 0.00067
2454697.862181; 0.99942; 0.00067
2454697.862482; 0.99950; 0.00067
2454697.862783; 1.00052; 0.00067
2454697.863084; 1.00076; 0.00067
2454697.863384; 1.00036; 0.00067
2454697.863686; 0.99916; 0.00067
2454697.863986; 1.00019; 0.00067
2454697.864287; 1.00005; 0.00067
2454697.864588; 1.00037; 0.00067
2454697.864889; 0.99861; 0.00067
2454697.865190; 0.99964; 0.00067
2454697.865491; 0.99983; 0.00067
2454697.865792; 1.00070; 0.00067
2454697.866093; 0.99953; 0.00067
2454697.866394; 1.00150; 0.00067
2454697.866695; 0.99898; 0.00067
2454697.866996; 0.99994; 0.00067
2454697.867297; 0.99971; 0.00067
2454697.867597; 1.00095; 0.00067
2454697.867898; 0.99962; 0.00067
2454697.868199; 0.99965; 0.00067
2454697.868500; 1.00007; 0.00067
2454697.868801; 1.00022; 0.00067
2454697.869102; 1.00041; 0.00067
2454697.869403; 0.99850; 0.00067
2454697.869704; 1.00005; 0.00067
2454748.588191; 0.99984; 0.00047
2454748.588665; 0.99986; 0.00047
2454748.589140; 0.99905; 0.00047
2454748.589614; 0.99967; 0.00047
2454748.590089; 0.99998; 0.00047
2454748.590564; 0.99895; 0.00047
2454748.591038; 0.99950; 0.00047
2454748.591514; 0.99987; 0.00047
2454748.591987; 1.00005; 0.00047
2454748.592462; 0.99881; 0.00047
2454748.592936; 0.99976; 0.00047
2454748.593411; 0.99998; 0.00047
2454748.593885; 0.99958; 0.00047
2454748.594360; 0.99997; 0.00047
2454748.594834; 1.00040; 0.00047
2454748.595309; 1.00087; 0.00047
2454748.595783; 0.99986; 0.00047
2454748.596254; 1.00026; 0.00047
2454748.596721; 0.99997; 0.00047
2454748.597195; 1.00080; 0.00047
2454748.597670; 1.00023; 0.00047
2454748.598144; 0.99995; 0.00047
2454748.598619; 0.99977; 0.00047
2454748.599095; 0.99968; 0.00047
2454748.599570; 1.00009; 0.00047
2454748.600042; 1.00028; 0.00047
2454748.600517; 1.00024; 0.00047
2454748.600991; 0.99993; 0.00047
2454748.601466; 1.00034; 0.00047
2454748.601940; 1.00001; 0.00047
2454748.602415; 0.99956; 0.00047
2454748.602890; 1.00001; 0.00047
2454748.603364; 1.00014; 0.00047
2454748.603838; 0.99924; 0.00047
2454748.604313; 1.00046; 0.00047
2454748.604787; 1.00058; 0.00047
2454748.605262; 1.00054; 0.00047
2454748.605736; 0.99992; 0.00047
2454748.606211; 1.00056; 0.00047
2454748.606689; 1.00082; 0.00047
2454748.607160; 0.99933; 0.00047
2454748.607634; 0.99972; 0.00047
2454748.608109; 0.99835; 0.00047
2454748.608583; 0.99768; 0.00047
2454748.609058; 0.99760; 0.00047
2454748.609532; 0.99635; 0.00047
2454748.610007; 0.99555; 0.00047
2454748.610481; 0.99442; 0.00047
2454748.610956; 0.99416; 0.00047
2454748.611430; 0.99322; 0.00047
2454748.611905; 0.99173; 0.00047
2454748.612380; 0.99085; 0.00047
2454748.612854; 0.98897; 0.00047
2454748.613329; 0.98878; 0.00047
2454748.613803; 0.98763; 0.00047
2454748.614278; 0.98554; 0.00047
2454748.614752; 0.98498; 0.00047
2454748.615227; 0.98389; 0.00047
2454748.615701; 0.98253; 0.00047
2454748.616176; 0.98255; 0.00047
2454748.616650; 0.98074; 0.00047
2454748.617125; 0.97979; 0.00047
2454748.617599; 0.97926; 0.00047
2454748.618074; 0.97917; 0.00047
2454748.618548; 0.97820; 0.00047
2454748.619023; 0.97753; 0.00047
2454748.619501; 0.97757; 0.00047
2454748.619972; 0.97742; 0.00047
2454748.620446; 0.97717; 0.00047
2454748.620921; 0.97645; 0.00047
2454748.621395; 0.97685; 0.00047
2454748.621870; 0.97669; 0.00047
2454748.622345; 0.97602; 0.00047
2454748.622819; 0.97603; 0.00047
2454748.623293; 0.97605; 0.00047
2454748.623768; 0.97652; 0.00047
2454748.624242; 0.97579; 0.00047
2454748.624717; 0.97547; 0.00047
2454748.625191; 0.97589; 0.00047
2454748.625666; 0.97543; 0.00047
2454748.626140; 0.97441; 0.00047
2454748.626615; 0.97583; 0.00047
2454748.627089; 0.97487; 0.00047
2454748.627564; 0.97578; 0.00047
2454748.628038; 0.97558; 0.00047
2454748.628513; 0.97439; 0.00047
2454748.628987; 0.97484; 0.00047
2454748.629462; 0.97439; 0.00047
2454748.629936; 0.97499; 0.00047
2454748.630411; 0.97473; 0.00047
2454748.630885; 0.97470; 0.00047
2454748.631360; 0.97444; 0.00047
2454748.631834; 0.97362; 0.00047
2454748.632309; 0.97449; 0.00047
2454748.632783; 0.97396; 0.00047
2454748.633258; 0.97352; 0.00047
2454748.633733; 0.97399; 0.00047
2454748.634207; 0.97354; 0.00047
2454748.634682; 0.97388; 0.00047
2454748.635156; 0.97335; 0.00047
2454748.635631; 0.97428; 0.00047
2454748.636106; 0.97392; 0.00047
2454748.636580; 0.97370; 0.00047
2454748.637056; 0.97302; 0.00047
2454748.637531; 0.97373; 0.00047
2454748.638003; 0.97268; 0.00047
2454748.638478; 0.97386; 0.00047
2454748.638952; 0.97336; 0.00047
2454748.639431; 0.97367; 0.00047
2454748.639904; 0.97400; 0.00047
2454748.640376; 0.97336; 0.00047
2454748.640851; 0.97396; 0.00047
2454748.641325; 0.97358; 0.00047
2454748.641799; 0.97302; 0.00047
2454748.642274; 0.97374; 0.00047
2454748.642748; 0.97296; 0.00047
2454748.643223; 0.97243; 0.00047
2454748.643697; 0.97290; 0.00047
2454748.644172; 0.97208; 0.00047
2454748.644647; 0.97326; 0.00047
2454748.645121; 0.97262; 0.00047
2454748.645595; 0.97271; 0.00047
2454748.646070; 0.97236; 0.00047
2454748.646544; 0.97304; 0.00047
2454748.647019; 0.97295; 0.00047
2454748.647493; 0.97280; 0.00047
2454748.647968; 0.97244; 0.00047
2454748.648442; 0.97249; 0.00047
2454748.648917; 0.97300; 0.00047
2454748.649391; 0.97269; 0.00047
2454748.649866; 0.97244; 0.00047
2454748.650341; 0.97215; 0.00047
2454748.650815; 0.97295; 0.00047
2454748.651289; 0.97266; 0.00047
2454748.651764; 0.97194; 0.00047
2454748.652238; 0.97225; 0.00047
2454748.652713; 0.97289; 0.00047
2454748.653187; 0.97286; 0.00047
2454748.653662; 0.97290; 0.00047
2454748.654137; 0.97307; 0.00047
2454748.654611; 0.97309; 0.00047
2454748.655086; 0.97306; 0.00047
2454748.655560; 0.97275; 0.00047
2454748.656035; 0.97307; 0.00047
2454748.656509; 0.97241; 0.00047
2454748.656984; 0.97380; 0.00047
2454748.657459; 0.97377; 0.00047
2454748.657933; 0.97322; 0.00047
2454748.658407; 0.97384; 0.00047
2454748.658891; 0.97369; 0.00047
2454748.659368; 0.97361; 0.00047
2454748.659842; 0.97365; 0.00047
2454748.660317; 0.97282; 0.00047
2454748.660791; 0.97392; 0.00047
2454748.661266; 0.97375; 0.00047
2454748.661740; 0.97388; 0.00047
2454748.662216; 0.97387; 0.00047
2454748.662689; 0.97382; 0.00047
2454748.663164; 0.97286; 0.00047
2454748.663638; 0.97266; 0.00047
2454748.664113; 0.97387; 0.00047
2454748.664587; 0.97334; 0.00047
2454748.665062; 0.97288; 0.00047
2454748.665536; 0.97345; 0.00047
2454748.666011; 0.97310; 0.00047
2454748.666485; 0.97340; 0.00047
2454748.666960; 0.97305; 0.00047
2454748.667434; 0.97346; 0.00047
2454748.667909; 0.97349; 0.00047
2454748.668383; 0.97421; 0.00047
2454748.668858; 0.97337; 0.00047
2454748.669332; 0.97431; 0.00047
2454748.669807; 0.97321; 0.00047
2454748.670281; 0.97354; 0.00047
2454748.670756; 0.97430; 0.00047
2454748.671230; 0.97381; 0.00047
2454748.671705; 0.97396; 0.00047
2454748.672179; 0.97400; 0.00047
2454748.672654; 0.97455; 0.00047
2454748.673129; 0.97472; 0.00047
2454748.673603; 0.97510; 0.00047
2454748.674077; 0.97417; 0.00047
2454748.674552; 0.97368; 0.00047
2454748.675027; 0.97509; 0.00047
2454748.675501; 0.97487; 0.00047
2454748.675976; 0.97562; 0.00047
2454748.676450; 0.97511; 0.00047
2454748.676925; 0.97472; 0.00047
2454748.677399; 0.97543; 0.00047
2454748.677874; 0.97587; 0.00047
2454748.678348; 0.97585; 0.00047
2454748.678823; 0.97570; 0.00047
2454748.679297; 0.97613; 0.00047
2454748.679772; 0.97521; 0.00047
2454748.680246; 0.97603; 0.00047
2454748.680721; 0.97595; 0.00047
2454748.681195; 0.97687; 0.00047
2454748.681670; 0.97705; 0.00047
2454748.682144; 0.97684; 0.00047
2454748.682619; 0.97695; 0.00047
2454748.683093; 0.97691; 0.00047
2454748.683568; 0.97805; 0.00047
2454748.684042; 0.97856; 0.00047
2454748.684517; 0.97949; 0.00047
2454748.684991; 0.98066; 0.00047
2454748.685466; 0.98069; 0.00047
2454748.685940; 0.98215; 0.00047
2454748.686415; 0.98263; 0.00047
2454748.686889; 0.98329; 0.00047
2454748.687364; 0.98419; 0.00047
2454748.687838; 0.98570; 0.00047
2454748.688313; 0.98732; 0.00047
2454748.688787; 0.98776; 0.00047
2454748.689262; 0.98986; 0.00047
2454748.689736; 0.98960; 0.00047
2454748.690211; 0.99126; 0.00047
2454748.690685; 0.99279; 0.00047
2454748.691160; 0.99294; 0.00047
2454748.691634; 0.99348; 0.00047
2454748.692109; 0.99593; 0.00047
2454748.692583; 0.99567; 0.00047
2454748.693058; 0.99689; 0.00047
2454748.693533; 0.99711; 0.00047
2454748.694007; 0.99740; 0.00047
2454748.694482; 0.99844; 0.00047
2454748.694956; 0.99954; 0.00047
2454748.695431; 0.99957; 0.00047
2454748.695905; 0.99931; 0.00047
2454748.696379; 1.00021; 0.00047
2454748.696854; 1.00056; 0.00047
2454748.697328; 0.99898; 0.00047
2454748.697803; 0.99998; 0.00047
2454748.698278; 0.99914; 0.00047
2454748.698752; 1.00042; 0.00047
2454748.699227; 1.00041; 0.00047
2454748.699701; 1.00035; 0.00047
2454748.700176; 0.99925; 0.00047
2454748.700650; 1.00009; 0.00047
2454748.701125; 1.00032; 0.00047
2454748.701599; 1.00031; 0.00047
2454748.702074; 1.00054; 0.00047
2454748.702548; 0.99967; 0.00047
2454748.703023; 0.99919; 0.00047
2454748.703497; 1.00045; 0.00047
2454748.703972; 1.00025; 0.00047
2454748.704447; 0.99984; 0.00047
2454748.704921; 1.00031; 0.00047
2454748.705395; 1.00011; 0.00047
2454748.705870; 0.99975; 0.00047
2454748.706345; 0.99998; 0.00047
2454748.706819; 1.00022; 0.00047
2454748.707293; 0.99918; 0.00047
2454748.707768; 1.00021; 0.00047
2454748.708242; 0.99998; 0.00047
2454748.708717; 1.00065; 0.00047
2454748.709191; 1.00034; 0.00047
2454748.709666; 1.00079; 0.00047
2454748.710140; 0.99925; 0.00047
2454748.710615; 1.00043; 0.00047
2454748.711089; 0.99951; 0.00047
2454748.711565; 1.00042; 0.00047
2454748.712038; 0.99937; 0.00047
2454748.712513; 0.99995; 0.00047
2454748.712988; 0.99951; 0.00047
2454748.713462; 1.00001; 0.00047
2454748.713937; 1.00025; 0.00047
2454748.714411; 1.00111; 0.00047
2454748.714885; 1.00016; 0.00047
2454748.715360; 1.00091; 0.00047
2454748.715834; 0.99995; 0.00047
2454748.716309; 1.00058; 0.00047
2454748.716784; 1.00025; 0.00047
2454748.717258; 1.00022; 0.00047
2454748.717733; 0.99990; 0.00047
2454748.718207; 0.99960; 0.00047
2454748.718682; 1.00032; 0.00047
2454748.719156; 0.99978; 0.00047
2454748.719631; 0.99957; 0.00047
2454748.720106; 1.00001; 0.00047
2454748.720580; 0.99980; 0.00047
2454748.721054; 1.00061; 0.00047
2454748.721529; 1.00056; 0.00047
2454748.722003; 1.00021; 0.00047
2454748.722478; 1.00047; 0.00047
2454748.722952; 1.00052; 0.00047
2454748.723427; 1.00017; 0.00047
2454748.723901; 1.00028; 0.00047
2454748.724376; 0.99999; 0.00047
2454748.724850; 0.99994; 0.00047
2454748.725325; 0.99991; 0.00047
2454748.725799; 0.99951; 0.00047
2454748.726274; 1.00083; 0.00047
2454748.726749; 0.99937; 0.00047
2454748.727223; 0.99947; 0.00047
2454748.727697; 1.00076; 0.00047
2454748.728172; 1.00027; 0.00047
2454748.728646; 0.99998; 0.00047
2454748.729121; 0.99977; 0.00047
2454748.729595; 0.99983; 0.00047
2454748.730070; 0.99948; 0.00047
2454748.730544; 1.00036; 0.00047
2454748.731019; 0.99927; 0.00047
2454748.731494; 0.99953; 0.00047
2454748.731968; 1.00001; 0.00047
2454748.732442; 1.00054; 0.00047
2454748.732917; 0.99956; 0.00047
2454748.733391; 1.00015; 0.00047
2454748.733866; 0.99917; 0.00047
2454748.734341; 1.00041; 0.00047
2454748.734817; 1.00031; 0.00047
2454748.735290; 0.99965; 0.00047
2454748.735764; 0.99971; 0.00047
2454748.736239; 0.99902; 0.00047
2454748.736714; 0.99950; 0.00047
2454748.737188; 1.00048; 0.00047
2454748.737662; 0.99970; 0.00047
2454748.738137; 1.00053; 0.00047
2454748.738612; 0.99957; 0.00047
2454748.739086; 1.00085; 0.00047
2454748.739560; 0.99993; 0.00047
2454748.740035; 0.99942; 0.00047
2454748.740509; 1.00049; 0.00047
2454748.740984; 0.99982; 0.00047
2454748.741458; 1.00007; 0.00047
2454748.741933; 1.00023; 0.00047
2454748.742407; 0.99946; 0.00047
2455045.660481; 0.99921; 0.00044
2455045.661129; 0.99931; 0.00044
2455045.661777; 1.00043; 0.00044
2455045.662425; 0.99971; 0.00044
2455045.663072; 1.00052; 0.00044
2455045.663720; 0.99938; 0.00044
2455045.664369; 0.99969; 0.00044
2455045.665073; 1.00077; 0.00044
2455045.665723; 0.99996; 0.00044
2455045.666371; 0.99965; 0.00044
2455045.667019; 0.99951; 0.00044
2455045.667668; 0.99982; 0.00044
2455045.668316; 1.00077; 0.00044
2455045.668964; 1.00037; 0.00044
2455045.669612; 1.00033; 0.00044
2455045.670260; 0.99967; 0.00044
2455045.670908; 1.00071; 0.00044
2455045.671556; 0.99956; 0.00044
2455045.672205; 0.99972; 0.00044
2455045.672854; 0.99924; 0.00044
2455045.673501; 1.00059; 0.00044
2455045.674149; 0.99938; 0.00044
2455045.674797; 0.99976; 0.00044
2455045.675446; 1.00036; 0.00044
2455045.676094; 1.00045; 0.00044
2455045.676742; 0.99995; 0.00044
2455045.677391; 1.00021; 0.00044
2455045.678039; 0.99989; 0.00044
2455045.678686; 1.00095; 0.00044
2455045.679334; 1.00024; 0.00044
2455045.679984; 1.00009; 0.00044
2455045.680631; 1.00058; 0.00044
